GENESIS-Tabelle: 12421-0002
Projected population figures: Germany, reference date,;;;;;;;;;;;;;;
variants of the population projection, sex, age years;;;;;;;;;;;;;;
Population projections;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;
Projected population figures (1000);;;;;;;;;;;;;;
;;;;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date
;;;;2022-12-31;2025-12-31;2030-12-31;2035-12-31;2040-12-31;2045-12-31;2050-12-31;2055-12-31;2060-12-31;2065-12-31;2070-12-31
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;Total;41457.6;41681.0;41856.9;41816.1;41687.0;41488.6;41254.4;41025.2;40865.8;40810.7;40800.9
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;under 1 year;368.3;376.7;376.7;365.9;359.4;363.0;368.8;367.7;362.5;357.3;352.9
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;5 years;405.2;397.7;388.9;386.1;375.0;368.5;372.1;377.9;376.9;371.7;366.4
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;10 years;377.0;405.3;409.2;397.8;394.7;383.6;377.1;380.7;386.5;385.5;380.3
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;15 years;376.8;386.8;416.4;417.8;406.0;403.0;391.8;385.4;389.0;394.8;393.8
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;20 years;404.8;400.5;413.6;437.4;438.5;426.7;423.7;412.6;406.1;409.7;415.6
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;25 years;480.6;469.6;441.1;444.9;467.5;468.6;456.9;453.8;442.7;436.3;440.0
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;30 years;501.7;489.8;497.9;462.9;465.7;488.3;489.4;477.7;474.7;463.7;457.2
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;35 years;557.3;575.5;508.0;511.8;476.2;479.1;501.7;502.9;491.2;488.2;477.2
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;40 years;543.2;544.9;587.4;517.1;520.6;485.1;488.0;510.7;511.9;500.4;497.4
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;45 years;502.2;550.4;553.3;593.4;523.1;526.7;491.5;494.5;517.2;518.5;507.1
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;50 years;523.7;482.1;554.0;555.5;595.4;525.7;529.5;494.6;497.7;520.5;521.9
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;55 years;671.3;588.4;480.0;550.8;552.5;592.4;523.6;527.6;493.3;496.6;519.5
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;60 years;666.8;676.9;578.1;472.1;542.3;544.5;584.3;517.0;521.3;487.7;491.4
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;65 years;561.2;620.3;656.2;561.5;459.2;528.4;531.4;571.1;505.8;510.8;478.4
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Female;70 years;495.4;509.9;590.5;626.8;537.6;440.6;508.3;512.3;551.7;489.5;495.2
